colpushtext_image,colpushtext_image/_alt,link,link/_text,link/_title,colpushtext_link,colpushtext_link/_text,colpushtext_link/_title,jobtitletext_link,jobtitletext_link/_text,jobtitletext_link/_title,name_value,jobinfotext_value_1,label,jobinfotext_value_2,views_value,viewnumber_value,viewnumber_value_numbers,textgraycol_descriptions,whatdowe_label,whatdowe_descriptions,"_PAGE_NUMBER"
"http://images.vietnamworks.com/pictureofcompany/a9/10199200.jpg","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/human-resources-manager-58-589911-jd","","","http://www.vietnamworks.com/human-resources-manager-58-589911-jd","Human Resources Manager","","Paradise Cruises & Hotels","Quang Ninh","|","Manager","Posted: 17/08/2015","Views: 1499","1499","Kỹ Năng Giải Quyết Tình Huống Phát Sinh; Hiểu Luật Lao Động; Kỹ Năng Giao Tiếp & Thương Lượng","What do we offer?","Monthly incentive, 13th salary; Insurance; Full paid Public holiday and annual leave","1"
"","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/nhan-vien-phong-hanh-chinh-nhan-su-14-594464-jd","Công Ty TNHH Fuji Xerox Hải Phòng","","http://www.vietnamworks.com/nhan-vien-phong-hanh-chinh-nhan-su-14-594464-jd","Nhân Viên Phòng Hành Chính Nhân Sự","","Công Ty TNHH Fuji Xerox Hải Phòng","Hai Phong","|","Experienced (Non-Manager)","Posted: 01/09/2015","Views: 879","879","Hải Phòng; Có Kinh Nghiệm; Nhân Sự","What do we offer?","- Nhân viên được làm việc trong môi trường năng động, trẻ trung.","1"
"http://images.vietnamworks.com/pictureofcompany/e3/10092878.png","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/hrd-supervisor-giam-sat-phong-phat-trien-nguon-luc-1-594417-jd","","","http://www.vietnamworks.com/hrd-supervisor-giam-sat-phong-phat-trien-nguon-luc-1-594417-jd","HRD Supervisor / Giám Sát Phòng Phát Triển Nguồn Lực","","Apparel Far Eastern (vietnam)","Binh Duong, Ho Chi Minh","|","Team Leader/Supervisor","Posted: 31/08/2015","Views: 306","306","- Huấn Luyễn và Đào Tạo; - Quản Lý Nhân Sự, Giao Tiếp; - Tiếng Hoa Nghe, Nói ,đọc ,viết Lưu Loát, Giao Tiếp Tốt và Có Khả Năng Biên Phiên Dịch Tốt","What do we offer?","Ngày nghỉ: Được hưởng 12 ngày phép năm, Tết dương lịch, Tết Âm lịch, Giỗ tổ Hùng Vương, 30/4, Quốc; Phụ cấp khác: Phụ cấp đi lại, nhà trọ, chuyên cần, trợ cấp kỹ năng; Được hưởng 100% BHXH","1"
"http://images.vietnamworks.com/pictureofcompany/67/10144353.jpg","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/technical-recruiter-3-594251-jd","","","http://www.vietnamworks.com/technical-recruiter-3-594251-jd","Technical Recruiter","","Misfit Wearables Corporation","Ho Chi Minh","|","Experienced (Non-Manager)","Posted: 31/08/2015","Views: 373","373","Strong Communication; Technical Recruiting","What do we offer?","Personal and professional development opportunities: 1-2 month(s) training at Silicon Valley (US).; Plenty of food, all the time; Subsidies for: cell phone, health/fitness, health insurance","1"
"http://images.vietnamworks.com/pictureofcompany/7b/10218147.jpg","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/human-resource-staff-good-english-or-chinese-594230-jd","","","http://www.vietnamworks.com/human-resource-staff-good-english-or-chinese-594230-jd","Human Resource Staff (good English Or Chinese)","","Công Ty TNHH May Mặc Dệt Kim Smart Shirts (Việt Nam)","Ha Noi, Hung Yen","|","Experienced (Non-Manager)","Posted: 31/08/2015","Views: 615","615","English Or Chinese; Human Resources; Recruiting","What do we offer?","Competitive Salary; Social Health and Unemployment Insurance and other benefits under; International working environment","1"
"http://images.vietnamworks.com/pictureofcompany/ed/10128893.jpg","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/zhu-huang-v-hr-staff-591223-jd","","","http://www.vietnamworks.com/zhu-huang-v-hr-staff-591223-jd","人事部門スタッフ (HR Staff)","","Asahi Intecc Hanoi Co., Ltd.","Ha Noi","|","Experienced (Non-Manager)","Posted: 22/08/2015","Views: 2133","2133","Report - Data Analysis & Monitoring; Legal Procedures; Training Management","What do we offer?","Diversified benefits (employee commuter, seniority, gender, foreign languages,etc); Promising training abroad programs.; Prominent health insurances (Tokyo Marine insurance).","1"
"http://images.vietnamworks.com/pictureofcompany/15/10094851.jpg","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/urgent-nhan-vien-phien-dich-tieng-nhat-phong-hanh-chinh-nhan-su-589708-jd","","","http://www.vietnamworks.com/urgent-nhan-vien-phien-dich-tieng-nhat-phong-hanh-chinh-nhan-su-589708-jd","(**urgent!) Nhân Viên Phiên Dịch Tiếng Nhật-phòng Hành Chính Nhân Sự","","Hamaden Vietnam Co., Ltd","Ha Noi, Hai Duong, Hung Yen","|","Experienced (Non-Manager)","Posted: 14/08/2015","Views: 2388","2388","Thư Ký; Hành Chính Nhân Sự; Biên Phiên Dịch Tiếng Nhật","What do we offer?","Thưởng hàng năm; Du lịch công ty hàng năm; Có xe đưa đón CBCNV từ Hà Nội- Hưng Yên và ngược lại","1"
"http://images.vietnamworks.com/pictureofcompany/3d/10215087.png","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/admin-and-hr-executive-japanese-speaking-593697-jd","","","http://www.vietnamworks.com/admin-and-hr-executive-japanese-speaking-593697-jd","Admin And HR Executive (Japanese Speaking)","","Công Ty TNHH Atech Việt Nam","Ho Chi Minh","|","Experienced (Non-Manager)","Posted: 28/08/2015","Views: 1586","1586","Good Working Knowledge Of Labour/employment Regulations & HR Practices; Good Command Of Japanese and English; Admin And HR Duties","What do we offer?","13th month salary; Modern & friendly working environment","1"
"http://images.vietnamworks.com/pictureofcompany/bc/10186018.png","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/recruitment-executive-26-591671-jd","","","http://www.vietnamworks.com/recruitment-executive-26-591671-jd","Recruitment Executive","","VietnamWorks","Ho Chi Minh","|","Experienced (Non-Manager)","Posted: 21/08/2015","Views: 1190","1190","Recruitment Consultant; - Human Resource; - Recruitment","What do we offer?","Very good Healthcare Plan; Various events and team-building activities; Professional working evironment","1"
"http://images.vietnamworks.com/pictureofcompany/bc/10186018.png","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/sales-manager-252-591653-jd","","","http://www.vietnamworks.com/sales-manager-252-591653-jd","Sales Manager","","VietnamWorks","Ho Chi Minh","|","Manager","Posted: 21/08/2015","Views: 732","732","Business Development; • Target & Result Oriented; - Team Management","What do we offer?","Good Health care program; Great Training opportunities; Frequent Team Building Activities","1"
