colpushtext_image,colpushtext_image/_alt,link,link/_text,link/_title,colpushtext_link,colpushtext_link/_text,colpushtext_link/_title,jobtitletext_link,jobtitletext_link/_text,jobtitletext_link/_title,jobtitletext_link_prices,name_value,jobinfotext_value_1,label,jobinfotext_value_2,views_value,viewnumber_value,viewnumber_value_numbers,textgraycol_descriptions,whatdowe_label,whatdowe_descriptions,whatdowe_descriptions_prices,"_PAGE_NUMBER"
"http://images.vietnamworks.com/pictureofcompany/dd/8813834.png","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/senior-php-developer-93-590982-jd","","","http://www.vietnamworks.com/senior-php-developer-93-590982-jd","Senior PHP Developer","","","Lampart Co., LTD.","Ho Chi Minh","|","Team Leader/Supervisor","Posted: 19/08/2015","Views: 707","707","Coaching Junior Team Members; Design Architecture Software; Analyse Requirements","What do we offer?","Half-yearly bonus review; Company trip 1 per year; Friendly working environment, with dynamic, young and friendly teamates","","1"
"http://images.vietnamworks.com/pictureofcompany/30/8474819.jpg","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/net-software-engineer-with-experience-in-business-intelligence-and-data-warehouse-590810-jd","","","http://www.vietnamworks.com/net-software-engineer-with-experience-in-business-intelligence-and-data-warehouse-590810-jd",".NET Software Engineer With Experience In Business Intelligence And Data Warehouse","","","ASWIG Solutions","Ho Chi Minh","|","Experienced (Non-Manager)","Posted: 19/08/2015","Views: 1084","1084",".NET Developer, Ssrs, Ssis, Ssas; Business Intelligence; Data Warehouse","What do we offer?","13th and 14th month salary; 20 days annual leave + 10 days sick leave; Overseas travel opportunities (company trip, business trip, working onsite, etc...)","","1"
"http://images.vietnamworks.com/pictureofcompany/26/10181649.png","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/5-senior-dynamic-ax-engineers-1-592699-jd","","","http://www.vietnamworks.com/5-senior-dynamic-ax-engineers-1-592699-jd","5 Senior Dynamic AX Engineers","","","TMA Solutions","Ho Chi Minh","|","Experienced (Non-Manager)","Posted: 25/08/2015","Views: 703","703","MS Dynamic 2012; SQL; .Net","What do we offer?","Competitive salary and attractive benefit package (bonus, gift, loan fund, team building fund ...); Total Health Care Insurance; Many training opportunities in Vietnam and Oversea","","1"
"http://images.vietnamworks.com/pictureofcompany/fd/7439935.jpg","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/marketing-online-google-adwords-seo-fb-592595-jd","","","http://www.vietnamworks.com/marketing-online-google-adwords-seo-fb-592595-jd","Marketing Online ( Google Adwords, Seo, Fb… )","","","Công Ty Cổ Phần Truyền Thông Quả Chanh","Ha Noi","|","Experienced (Non-Manager)","Posted: 25/08/2015","Views: 796","796","Có Kinh Nghiệm Làm Truyền Thông Trên Nền Tảng Facebook, Google Network, Wap, App; Thành Thạo Vi Tính, Microsoft Office, Internet; Có Kinh Nghiệm Về Truyền Thông","What do we offer?","Có cơ hội được đào tạo nâng cao nghiệp vụ thường xuyên; Được cung cấp các trang thiết bị phục vụ công việc","","1"
"http://images.vietnamworks.com/pictureofcompany/fd/7439935.jpg","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/nhan-vien-lap-trinh-mobile-ios-developer-luong-hap-dan-592589-jd","","","http://www.vietnamworks.com/nhan-vien-lap-trinh-mobile-ios-developer-luong-hap-dan-592589-jd","Nhân Viên Lập Trình Mobile / IOS Developer( Lương Hấp Dẫn )","","","Công Ty Cổ Phần Truyền Thông Quả Chanh","Ha Noi","|","Experienced (Non-Manager)","Posted: 25/08/2015","Views: 639","639","Có Kiến Thức Cơ Bản Về Lập Trình, Thuật Toán, Thiết Kế Hệ Thống; Có Kiến Thức Tốt, Hiểu Sâu Về C/c++/objective-c Hoặc Swift; Có Kinh Nghiệm Về Truyền Thông","What do we offer?","Có cơ hội được đào tạo nâng cao nghiệp vụ thường xuyên; Được cung cấp các trang thiết bị phục vụ công việc; Lương cạnh tranh","","1"
"http://images.vietnamworks.com/pictureofcompany/1c/10119738.jpg","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/nhan-vien-he-thong-cong-nghe-thong-tin-592389-jd","","","http://www.vietnamworks.com/nhan-vien-he-thong-cong-nghe-thong-tin-592389-jd","Nhân Viên Hệ Thống - Công Nghệ Thông Tin","","","Công Ty Thương Mại Và Xuất Nhập Khẩu Viettel","Ha Noi","|","Experienced (Non-Manager)","Posted: 24/08/2015","Views: 1217","1217","Lập Trình Cơ Bản SQL; Thành Thạo Việc Cài Đặt, Cấu Hình Với Hđh Windows/ Linux; Điện Tử Viễn Thông - Công Nghệ Thông Tin","What do we offer?","Chế độ lương, thưởng tốt, chính sách đãi ngộ hấp dẫn; Môi trường làm việc chuyên nghiệp, sáng tạo, cạnh tranh, phát triển, năng động; Có nhiều cơ hội thăng tiến và phát triển nghề nghiệp","","1"
"","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/senior-php-developer-95-592214-jd","Hellopay","","http://www.vietnamworks.com/senior-php-developer-95-592214-jd","Senior PHP Developer","","","Hellopay","Ho Chi Minh","|","Experienced (Non-Manager)","Posted: 24/08/2015","Views: 494","494","Phalcon; Zend; PHP","What do we offer?","- Competitive benefit package- International & dynamic working environment","","1"
"http://images.vietnamworks.com/pictureofcompany/1f/10201894.jpg","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/ky-su-cau-noi-bse-lam-viec-tai-nhat-2-590262-jd","","","http://www.vietnamworks.com/ky-su-cau-noi-bse-lam-viec-tai-nhat-2-590262-jd","Kỹ Sư Cầu Nối (bse ) Làm Việc Tại Nhật","","","Evolable Asia","International","|","Experienced (Non-Manager)","Posted: 17/08/2015","Views: 930","930","- PHP; BSE Onsite","What do we offer?","Sport activities: Football, swimming, etc. (Company sponsor)","","1"
"http://images.vietnamworks.com/pictureofcompany/78/7912101.png","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/internal-it-manager-572022-jd","","","http://www.vietnamworks.com/internal-it-manager-572022-jd","Internal IT Manager","","","Niteco (vietnam) Co., Ltd","Ha Noi","|","Team Leader/Supervisor","Posted: 01/09/2015","Views: 201","201","English - Advanced Level; IT Security & Policy; IT Management; Unix, Linux, Solaris, Mac OS X Adm","What do we offer?","Attractive salary package + 13th month salary; Premium healthcare package. We call it NITECO - AON; On-site opportunities in Sweden, UK, Australia, etc; Summer vacation abroad","","1"
"http://images.vietnamworks.com/pictureofcompany/28/10193315.jpg","","http://www.vietnamworks.com/jobseekers/checkAuthenticate.php?lang=2","Login to view salary","","http://www.vietnamworks.com/technical-expert-1-588792-jd","","","http://www.vietnamworks.com/technical-expert-1-588792-jd","Technical Expert","","","Jonckers Co., Ltd","Ha Noi","|","Manager","Posted: 12/08/2015","Views: 1375","1375","Engineering (sw, Ua) Presentation; Localization; DTP ; Graphic Design, Cat Tools; Mt/mtpe Processes and Technologies (smt, Rbmt); IT - Software","What do we offer?","13th and 14th salary; Health care insurance for staff; 1 legal holiday for each year working , maximum 25 days","","1"
